content	genre	release_year	title	country	len_plot	content_aug_de	content_aug_ru
The film set in Turin Italy follows French flight attendant [FEMALE] and ItalianAmerican detective [MALE] who team up to find [FEMALE]'s younger sister Celine. Celine a model has been abducted by a serial killer. Known only as Yellow  he kidnaps beautiful foreign women in his unlicensed taxi cab. After drugging them the killer proceeds to mutilate and finally murder them. He photographs his deeds so that the photos may grant him personal sexual gratification. The film ends with [MALE] and [FEMALE] having a shootout in a hotel. [FEMALE] tries to escape but falls from a skylight to the floor of the lobby killing him instantly. The police search his apartment for Celine but cannot find her. [FEMALE] starts to blame [MALE] for killing her sister as well as calling him selfish and inhumane. After hearing this he walks away. By chance while patrolling a car park a policeman hears Celine as she tries to gain his attention tied up and gagged in the trunk of [FEMALE]'s car.	horror	2009.0	Giallo	"{""/m/03rjj"": ""Italy""}"	223	The film is set in Torino, Italy. It follows the French flight attendant [FEMALE] and Italian-American detective [MALE] who join forces to track down [FEMALE]'s younger sister [FEMALE], a model known as Yellow, kidnaps beautiful foreign women in his licensed taxi. After drug-dealing, the hitman mutilated and finally murdered her. He photographs his story for his personal sexual gratification; the film ends in a shootout between [MALE] and Giallo in a hotel. Giallo tries to escape but tilts through a skylight to the floor of the ch and immediately kills himself. Police then raid his apartment for [FEMALE] but fail to find him. [FEMALE] accuses [MALE] of murdering her sister, labelling him selfish and inhuman 門. By chance, a policeman hears [FEMALE] with the	The film is set in Italy, and addresses the French flight Princess Lille and American Italian actor [MALE] in search of [FEMALE]'s younger sister.
This films follows the lead character [MALE]  who is sent to Earth by [FEMALE] and King Allmedia to battle the Chupacabra. He enters the earth driving a vintage Plymouth Belvedere. Once on earth he acquires several fire arms and goes on a mission to rid the earth of the Chupacabra. As it turns out the Chupacabra are the wayward pets of Zman Lord Invader . After [MALE] has defeated [MALE] and the Chupacabra he returns to the planet of Strain and Eastman and is knighted the Reverend Doctor Saint Francis Blade. Approximately half way through this film [MALE] enters playing the character [MALE]. This character is a narrator who is reminiscent of the science fiction television show narrators from the 1940s and 1950s. Once this character is introduced he goes about adding information to the everdeveloping storyline.	horror	1997.0	Guns of El Chupacabra	"{""/m/09c7w0"": ""United States of America""}"	209	"The movie follows the lead character [MALE] sent down to Earth by [FEMALE] and King Allmedia to fight the Chup壌. He steps down on Earth and travels through an old Plymouth Belvedere. After [MALE] beats Z [NEUTRAL] and the Chuphöchst ぼ, he returns to Earth by Strain and Eastman and receives a knighthood from Venerable Doctor Saint Francis Blade. Roughly halfway through the movie, [MALE] shifts to the role of rocket scientist [NEUTRAL], a narrator reminiscent of a ""Manche (Soul Tellers)"" from the 1940s and ""50s sci-mock-TV series. After introducing this, he sets about adding additional information to his ever-evolving story."	After [MALE] overcomes Zman and Cupacabra, he returns to Strain and Eastman levels, and is chained up in the cutthroat of [MALE] Bled. Measuring about halfway through the film, [MALE] takes on the role of the [MALE] character [NEUTRAL], which looks like someone ⑶ 血¢ dities the people in the science fiction television show of the 1940s and 1950s.
A group of students go to a haunted forest called Harrow Woods in New England for a weekend vacation to investigate the disappearance of horror novelist [MALE] and his family who have been missing for two years. Led by lecturer [MALE] the group embark on their investigation into the forest. They discover that in the 17th century the infamous witch [FEMALE] was burnt at the stake within Harrow Woods. As she struggled against the flames she cursed the land her ashes fell upon. The group are murdered one by one. The [MALE] story appears in flashback as the students particularly [FEMALE] a psychic investigate Harrow Woods and the abandoned log cabin where the [MALE] family was suspected to have been murdered two years previously.	horror	2008.0	Evil Calls: The Raven	"{""/m/07ssc"": ""United Kingdom""}"	150	On a weekend trip to a ghost town shaped forest called Harrow Woods in New England, one of the students decides to investigate the disappearance of horror novelist [MALE] 胞and his family who have been missing for Trainers there for the last two years. Led by assistant professor [MALE] the group begins to plunge into the woods where they discover that, in the 17th century orum, the notorious sorcerer [FEMALE] is gunned down at the stake in Harrow Woods. As she struggles against the flames, she describes the land on which her ashes fell.	A group of students heads off for a weekend vacation in Harrow Woods, New England to investigate the disappearance of horror writer [MALE] and his family, missing for two years.
Ngau's grandfather was a hanjian during the Second SinoJapanese War he murdered [MALE] and [MALE]'s family. [MALE] became a vengeful ghost after death seeking revenge on the Ngau family. Ngau's wife was killed by [MALE]'s ghost shortly after giving birth to their son [MALE]. Ngau is afraid of losing [MALE] so he asks [MALE] an expert ghostbuster to help him. She suggests that he operates a food stall at night to attract some ghost patrons and ask them to protect his family from [MALE]. When [MALE] grows up he gets seduced by [FEMALE] who tries to trick him into selling his father's land. If the land is sold Ngau will lose ownership of the food stall and the ghost patrons can no longer protect his family. [MALE] knocks his father unconscious steals his seal and signs a contract with [FEMALE] to sell the land – only to realise that she has deceived him. Although Ngau's friends manage to destroy the contract later it is too late as [MALE] has already caused [MALE] to die in a car accident. Out of love for his son Ngau sacrifices himself to appease [MALE] and [MALE] is brought back to life. In memory of his father [MALE] and his wife continue to operate the food stall to serve ghost patrons.	horror	2002.0	Troublesome Night 15	Hong Kong	280	During the Second SinoJapanese War, [MALE]'s grandfather murdered Keung and Keung's family and has become ursprünglichen vindictive, seeking revenge against the Ngau family who killed their princess soon after her son's birth but Ngau is afraid of losing [MALE] and ﻑ asks the competent [MALE] to help him. If the land is sold, Ngau will lose possession of the yurt and the ghost godparents will no longer be able to protect his family. [MALE] suggests that his father poached his family unconscious and makes a deal with [FEMALE] to sell his land only to reveal she cheated on him. Although Kegen has betrayed him, it is too late because [MALE] himself, like Keung, placed around his child the family the lake during his life because his father made sacrifices to make up the shedding.	[MALE] was a [NEUTRAL] during persecuted Sino-Japanese War Io-war and killed [MALE] and Ken's family. Ken has become a vengeful genius upon death, seeking revenge on NBan's womb. Nban's wife was killed by Ken's tying of their son Fei to 's F팔 resource soon after their son was born. Nbay fears 's loss so turns to the [MALE] expert [FEMALE] to be Help. She believes that it is he who runs the eatery in the night to lure ghost merchants and beg them to protect his family from [MALE].
On a class field trip to a mental hospital psychology major [MALE] has a disturbing meeting with a dangerous patient [MALE] . Later studies with her two roommates unaware of the dark impact she had in him. As the weather turns stormy [MALE] works his way towards [FEMALE]. [FEMALE] and her roommate [NEUTRAL] receive a visit from [MALE]  the neighbor who is a police officer who warns them about a local voyeur preying on locals. He assures them that he is close by and as long as that they should keep their curtains closed and doors locked. Meanwhile [MALE] works his way towards them slowly and methodically for a showdown between them.	horror	2011.0	Escapee	"{""/m/09c7w0"": ""United States of America""}"	133	On a school trip to a mental hospital, Major [MALE] comes across a dangerous patient named [MALE]. Later, she learns from her two roommates - unaware of the unpleasant effect she has had on him - that harmon is working her way up to him when the weather gets stormy and [FEMALE] and her roommate [NEUTRAL] are visited by [MALE], the next door neighbour to a police officer who warns her about a local voyeur who is training locals. [MALE] assures them that he's nearby and that long as they should keep the curtains shut and doors closed he will be very close by. Meanwhile, [MALE] slowly gives them a systematic ride past them.	On a class trip to a mental health facility, psychology professor [MALE] encounters a dangerous patient, [MALE]. Later she relationships with two roommates, hesitating and unaware of the dark impact she has exerted on him.
An ice cold tale of misguided ambition and savage revenge. Set in the bowels of an iconic derelict Los Angeles highrise we follow [NEUTRAL] and her realestate investing fiancé as they discover first hand what happens when a madman leads not with emotion but rather chilling rationality. The Man in question brings a heaping helping of sanity and jetblack humor to the crazy table. The result is a wonderfully offkilter horrorthriller that never goes where we expect but rather draws the audience deeper into a surprising world that has dark corners even in the brightest rooms.	horror	2010.0	The Brazen Bull	"{""/m/09c7w0"": ""United States of America""}"	138	The adventure of waste勉aspiration and frenzied revenge plays out in the bowels of an exhausted high-rise in Los Angeles where [NEUTRAL] and her fiancé are living with a real estate investment before learning what happens when a madman leads not with emotion, but with manifest rationality: the man in question brings a large dose of reason and wafer-thin humour to the crazy table, and ends up being a wonderfully raptured horror thriller, never going where we'd expect him to, but pulling the audience deeper into a surprising world that even in the brightest rooms in dark corners exists.	"In one of Los Angeles ""most celebrated parlors, we watch [NEUTRAL] and her real estate agent fiancée learn at first hand what happens when [NEUTRAL] acts not with emotions, but rather in a cool, rational way."
The premise of the story is that a father [MALE] and mother [FEMALE] and their two children [MALE] and [FEMALE] move out of Los Angeles to a house up north in the countryside. Moving in with the family would be their grandmother  whom nobody in the family other than [FEMALE] cared for very much. The family had just suffered the tragedy of losing their oldest daughter [FEMALE] and hope to regroup and start a new life without her. Just as they move into their new home [FEMALE] begins hearing the voice of her dead sister under her bed. Soon enough [FEMALE]'s ghost begins appearing to [FEMALE] in secret. [FEMALE] hopes to kill off her family as an act of revenge. Immediately after these meetings with [FEMALE] one by one her family members meet twisted fates. [MALE] suffers a heart attack from being spooked by [MALE]'s pet iguana which was released onto her bed one night [MALE] is thrown off the house roof while retrieving a Frisbee and father [MALE] is electrocuted in the bathtub when the radio he is listening to falls into the water. After it is discovered that [FEMALE] committed all of the killings  she is placed in a mental institution where it is revealed to viewers through a flashback the fate of [FEMALE]. Riding home from their grandma's house [MALE] convinced [FEMALE] to play a prank on their sister so [MALE] tied [FEMALE]'s shoes together. Apparently they were both jealous of the favoritism their sister was receiving as well as her constant bullying. When their car is accidentally struck by a van and begins to spark all except [FEMALE] are able to get out of the car. Just as [MALE] is about to go back to get her the car burst into flames. The final scene of the movie is memorable to viewers who have seen the movie in the past As [FEMALE] lays sleeping one night alone in her dark bedroom she is awakened by a sound at the foot of her bed. It is the ghost of [FEMALE] who pops up and says very sinisterly Hi Mommy! [FEMALE]'s eyes widen evilly. The camera cuts and zooms into [FEMALE] who screams just as the closing credits begin.	horror	1982.0	Don't Go to Sleep	"{""/m/09c7w0"": ""United States of America""}"	434	The family was moved out with her grandmother, none of whom had really fallen in love except [FEMALE]. [FEMALE] hoped to trade her vengeance for her 闸. Immediately after the meeting with one of the family members, the two men get together and split up the situation; [FEMALE] is having a heart attack when [MALE] is eaten by her pet iguana one night. [MALE] is thrown from the roof of the house while she gets hold of a friend of [FEMALE]'s. The girl is horrified and father [MALE] pays close attention.	Almost as the family ages through tragedy, diet addiction and the loss of elder daughter [FEMALE], and hopes of regrouping, and starting new lives come--from the moment they meet [FEMALE] to the time they break their 47 years together all their fortunes seem broken.
To the irritation of the US Government the [NEUTRAL] family freeze out homesteaders by denying access across their land using the government land for grazing their cattle herds. Meanwhile to evade a murder charge [MALE] marries the only witness [FEMALE] who's conveniently in love with him but favors the settlers. When [MALE] goes back to his blackmailing old flame Lottie a warm regard develops between [FEMALE] and cousin [MALE]. Things come to a head when an impending range war coincides with a rustling foray.	western	1952.0	Untamed Frontier	American	111	When, to the irritation of the American government, they cut off the [NEUTRAL] family from their homes, refusing access to their lands, which the government uses to graze their livestock, and to escape a murder charge, [MALE] married a single [FEMALE] witness who is comfortably in love with him but prefers [FEMALE] to the settlers, but when [MALE] returns to his former flame Lottie, it turns out the humor is right there between [FEMALE] and her cousin [MALE]. But things rapidly slip when an ominous war leads to a whirlwind campaign.	To the chagrin of the U.S. government, [NEUTRAL] family froze their estate, cutting off access to their land, using public land to grow cattle.
On 6 September 1950 an exhausted platoon of the 24th Infantry Division is cut off. In addition to losing radio contact the platoon is harassed by unseen North Korean infiltrators who silently kill the Americans and take their weapons. Platoon commander [MALE] has only vague instructions to reach a certain hill to link up with American forces. The patrol stops a jeep driven by [NEUTRAL] and shell shocked passenger the Colonel [MALE] from the First Cavalry Division. The Colonel is unable to speak and is tied to his seat. After the Battle of the Nakdong River where our men fell like rain the tough experienced Montana decided he and his Colonel whom he treats like his father have had enough of the war. [MALE] commandeers their jeep for his platoon's equipment and the battlefatigued Corporal Zwickley. The platoon makes its way towards the hill. Montana disobeys [MALE] by instinctively shooting a surrendering North Korean sniper who turns out to have a concealed weapon inside his hat. Sergeant Killian is killed while covering the rear after absentmindedly filling his helmet net with flowers. Montana takes his place and feigns fatigue luring the infiltrators into the open where he kills them. The cynical Montana transforms the platoon back into a military formation while also curing Zwickley's neurosis by slapping him around. The platoon successfully carries on through sniper attack artillery barrage and land mines. When they reach the hill they find it held by the North Koreans. Montana shoots three enemy soldiers disguised as Americans after a North Korean prisoner is used as bait and killed by his own men. [MALE] and his men launch an attack but Montana and the Colonel sit it out. The Colonel comes to his senses joins the assault and is killed. Shamed Montana joins [MALE]. They use grenades and a flamethrower to destroy a pillbox and machine gun nest. Only [NEUTRAL] and Sergeant Riordan survive. When American reinforcements arrive Montana produces a container of medals that the Colonel meant to award his men. [MALE] calls the roll as Montana throws the medals to the dead on the slope of the hill while [MALE] title song plays in the background.	western	1957.0	Men in War	"{""/m/09c7w0"": ""United States of America""}"	460	On 6 September 1950, an exhausted platoon of 24 Infantry Division Beneigns joins; in addition to losing radio contact, the platoon is tormented by invisible North Korean invaders who kill the Americans and take their weapons for a 政 Neuenkdorfer; platoon commander [MALE] has only vague instructions to reach a particular hilltop, to form alliances with American forces; the patrol stops the jeep driven by Sergeant Montana and rocket launcher Colonel [MALE] of the First Cavalry Division; the colonel cannot speak and the war gear stops; after the Nakdong River battle, where those folks like [MALE] fell like rain, Montana decided he and his colonel, whom he treats as his father, have had enough of war; [MALE] refers to their world championship and the battle he fought for his FDR; and they begin a historic battle for [MALE].	On September 6, 1950, the exhausted platoon of the 24th Infantry Division is cut off.
luis a Missouri farmer is driven to revenge by the murder of his wife and son by a band of proUnion Jayhawkers—Senator [MALE] [MALE] from Kansas. Wales joins a group of proConfederate Missouri Bushwhackers led by [MALE]. At the conclusion of the war Captain [MALE] persuades the guerrillas to surrender saying they have been granted amnesty. Wales refuses to surrender. As a result he and one young man are the only survivors when [NEUTRAL] [MALE] massacre the surrendering men. Wales intervenes and guns down several [MALE] with a Gatling gun. Senator [FEMALE] puts a 5000 bounty on Wales who is now on the run from Union militia and bounty hunters. Along the way despite wishing to be left alone he accumulates a diverse group of companions. They include an old Cherokee named [FEMALE] a young Navajo woman and an elderly woman from Kansas and her granddaughter Wales rescued from Comancheros. In Texas Wales and his companions are cornered in a ranch house which is fortified to withstand Indian raids. The [MALE] attack but are gunned down by the defenders. Wales despite being out of ammunition pursues the fleeing [NEUTRAL] on horseback. When he catches him Wales dry fires his pistols through all twenty–four empty chambers before stabbing Terrill with his own cavalry sword. At the bar in Santa Rio a wounded Wales finds [MALE] with two Texas Rangers. The locals at the bar who refer to Wales as Mr. [MALE] tell the Rangers that Wales was killed in a shootout in Monterrey Mexico. The Rangers accept this story and move on. [MALE] refuses to believe that Wales is dead. He says that he will go to Mexico and look for Wales himself. Seeing the blood dripping on Wales's boot [MALE] says that he will give Wales the first move because he owes him that. Wales rides off.	western	1976.0	The Outlaw Josey Wales	"{""/m/09c7w0"": ""United States of America""}"	410	luis attempted াynt invest in revenge by killing his wife and son, at the end of the war, [MALE] signalled to the guerrillas that they were given amnesty, Wales refused to surrender, he turned in dead bosses when Captain [MALE] began the big men's surrender, Wales intervened and fired several [MALE] with a Gatling gun, Senator [FEMALE] set a $5000 bounty on Wales for being transferred from 充by the Union militia and bounty hunters emigrated from drugs, and in Texas, despite his desire to asts peace, a diverse group of companions from Rio is assembled, including [FEMALE], a young woman from Kansas and her granddaughter, a Wales, who was trapped in a well-secured car and the murder of the judge in 饮a car locked down the Texas capital.	At the end of the war, [MALE] did a dissuasion in Switzerland, saying that he had been given a safe haven. Wales refused to surrender; as a result, he and a young man were the only survivors when Redleg Squadron Leader Capt Terrill killed surrendering men.
