content	genre	release_year	title	country	len_plot
The president is on his way to give a speech. While he is traveling there a man shows up with a camera. A reporter tries to ask a member of the secret service a question. When the president enters he is shot by the man with the camera. The president's main bodyguard Alex Thomas  is grazed by the bullet that hits the president. The shooter is gunned down by Alex and other secret service agents. The president dies at the hospital. Kate Crawford  an investigative journalist starts asking questions about the assassination. Anyone she questions is killed. She goes to Alex Thomas's house to tell him what is happening. As they head to his boat Thomas sees some men hiding in the bushes. He throws Kate into the water and dives in. Thomas jumps out of the water to kill two of the hitmen while a third hitman drives off to inform his boss what happened. They are able to link the hitmen to a man called Jack Baldwin . Agent Thomas and other Secret Service members attack the location of Jack Baldwin. Baldwin escapes but is later caught by Thomas. Thomas and Crawford are suspicious of Vaughan Stevens  Agent Thomas's boss who had previous links to Baldwin. While reviewing film of the assassination at his house Thomas discovers that Stevens handed the assassin a gun during the president's entrance. Thomas leaves to find Stevens while Kate stays at his house. When Thomas arrives at Stevens' home he finds him dead. Before entering Thomas sees a car leaving the house. He then receives a call that Baldwin has escaped. Kate is attacked by Baldwin but Thomas arrives and kills Baldwin. Thomas arrives at the first lady's home to see the car that left Steven's house pulling away. Thomas discovers that the first lady wanted her husband killed  due to the fact that the President was being unfaithful to her. A few weeks later Kate and Thomas have dinner. Thomas says that he still doesn't know who wanted the President dead.	thriller	2006.0	End Game	"{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada"", ""/m/0345h"": ""Germany""}"	392
Set in the Northwestern United States in 1875 the film focuses on taciturn widower Matt Calder  who recently has been released from prison after serving time for killing a man while defending another one. He arrives in a tent city in search of his tenyearold son Mark  who was left in the care of dance hall singer Kay during his absence. Matt promises Mark a virtual stranger to him the two will enjoy a life of hunting fishing and farming on their homestead. Kay's fiancé gambler Harry Weston  tells her they must go to Council City to file the deed on a gold mine he won in a poker game. They head downriver on their flimsy log raft and when they encounter trouble in the rapids near the Calder farm Matt and Mark rescue them. Harry offers to buy Matt's rifle and horse so as to reach Council City by land and when Matt refuses Harry steals both leaving Kay Matt and Mark stranded in the wilderness. When hostile Indians threaten the farm the three are forced to escape down the river on Harry's raft. That night they set up camp by the river and Matt and Kay argue about the wisdom of pursuing Harry. Matt questions why she would choose to marry a man who had endangered a child and she reminds him Harry never killed a man like he did. Mark overhears their discussion and Matt is forced to reveal the truth about his past to his son who is unable to comprehend why his father acted as he did. As the three continue their journey Kay comes to appreciate Matt's bravery and the tender way he cares for both her and Mark. As time passes they are forced to deal with a series of trials and tribulations including a mountain lion attack prospectors Sam Benson and Dave Colby who are pursuing Harry for stealing their gold claim and another group of Indians. After a difficult ride through the worst of the rapids the three arrive in Council City and confront Harry. Harry shoots at Matt forcing Mark to kill Harry with a rifle he is inspecting in the general store and the boy finally understands why his father shot a man so many years before. Kay heads to the local saloon and while she is singing there Matt arrives to take her back to his farm with Mark.	western	1954.0	River of No Return	"{""/m/09c7w0"": ""United States of America""}"	471
In the desert wilderness of 1930s Manchuria The Bad  a bandit and hitman  is hired to acquire a treasure map from a Japanese official traveling by train. Before he can get it however The Weird  a thief  steals the map and is caught up in The Bad's derailment of the train. This involves the slaughter of the Japanese and Manchurian guards and various civilians. The Good  an eagleeyed bounty hunter  appears on the scene to claim the bounty on The Bad. Meanwhile The Weird escapes eluding his Good and Bad pursuers. A third force  a group of Manchurian bandits  also want the map to sell to the Ghost Market. The Weird hopes to uncover the map's secrets and recover what he believes is gold and riches buried by the Qing Dynasty just before the collapse of their government. As the story continues an escalating battle for the map occurs with bounties placed on heads and the Imperial Japanese Army racing to reclaim its map as it can apparently save the Japanese Empire. After a series of graphic shootouts and chases a final battle erupts in which the Japanese army Manchurian bandits The Good The Bad and his gang are chasing The Weird all at once. The Japanese army kills most of the bandits. The Good kills many Japanese soldiers and sets off an explosion that drives them away. The Bad's gang is slowly killed off and he kills those that attempt to leave the chase. Only the Bad the Weird and the Good make it to the treasure. However they find that it is nothing more than a boardedover hole in the desert. The Bad recognizes The Weird as the Finger Chopper  a criminal that cut off his finger in a knife fight five years ago  and the man that the Good had thought the Bad to be. Turning on each other in a final act of vengeance for the slights they suffered they finally gun each other down after a prolonged Mexican standoff. The three lay in the sand dying and alone as the useless hole they had fought and died for suddenly and belatedly erupts with a geyser of crude oil. The Good does survive along with the Weird. With a newly raised bounty on the Weird a new chase begins as he flees across the Manchurian desert.	western	2008.0	The Good, the Bad, the Weird	"{""/m/06qd3"": ""South Korea""}"	488
Paschalis is a 30 year old agronomist about to marry his beloved Anthoula on the island of Milos. He accidentally embarks on the boat to Sifnos where he meets Zoi  a beautiful but strange photographer who goes to the island for her own 'purposes'. Things will become even more difficult for Paschalis when a strike of ship captains may cost him his marriage! But things change when together with Zoi he meets a couple in Sifnos who try to help him come together with his future wife in time for the marriage. But many unexpected situations lead to funny incidents and a lot of things are revealed about the four heroes.	romance		To Fili Tis Zois	"{""/m/035qy"": ""Greece""}"	142
The evil Lord Conqueror head of Conqueror's Clan is given a prophecy by Mud Buddha. It is said that if Conqueror finds two young children by the name of Wind and Cloud he will have good fortune. Mud Buddha tells Conqueror to look for him 10 years later so that he can tell the rest of Conqueror's fortune. Conqueror issues an order that every boy with a birth chart matching Wind's or Cloud's must become a disciple of the Conqueror's Clan. Both Wind and Cloud are found and Lord Conqueror's servants murder their respective parents. Ten years pass and Wind and Cloud are now both fully grown and highly skilled martial artists. Lord Conqueror raised them as his own children. He is angered by the disappearance of Mud Buddha and sends his men to find him. After Mud Buddha is found he reveals that Wind and Cloud will either join or destroy Conqueror. Seeing that Wind and Cloud can lead to misfortune Conqueror uses his daughter Charity to cause Wind and Cloud to fight each other. There was a love triangle involving Wind Cloud and Charity. Conqueror arranges a marriage with Wind and Charity. Cloud finds out and is unhappy about it. On the day of the wedding he takes her away and Conqueror tells Wind to fight for his wife. Wind and Cloud engage in a battle and Lord Conqueror tries to kill Cloud in their duel but killed his own daughter. This was because she tried to protect Cloud. Cloud and Wind's relationship with Lord Conqueror sours after Cloud loses an arm to Conqueror in combat and Wind is poisoned by Conqueror's minions. Wind finds out the truth about who killed his parents and fights a fire beast which killed his father. Fortunately Cloud is found by helpful villagers one of whom donates his arm to replace Cloud's loss. Wind and Cloud then work together to destroy Lord Conqueror. Together they defeat the evil warlord finally exacting their revenge and fulfilling Mud Buddha's prophecy.	fantasy	1998.0	The Storm Riders	"{""/m/03h64"": ""Hong Kong""}"	407
In the winter of 1945 immediately after the liberation Jean Diego  a member of the French underground during World War II meets Raymond one of his comrades in arm who was believed to have succumbed in battle. On that same night Jean encounters a homeless man named Destiny whose predictions about him finding the woman of his life won't be too far from reality. Jean soon starts a liaison with Malou a young woman married to a rich man. The next hours of his and Malou's lives are underscored by extreme dramatic events however as the clochard predicted they find their way out of struggle and are able to move on leaving behind wartime and its dangers.	fantasy	1946.0	Gates of the Night	"{""/m/0f8l9c"": ""France""}"	144
The film CHAMPION is a tale about a man who has a quest a dream to be the best of the best. The film centres around four main characters namely Rajveer Singh  a simpleton from a village in Punjab whose sole dream in life is to become a supercop and wipe off all crime. After training he gets his first posting at Mumbai for a special assignment. Bubbling with enthusiasm an arrival he is shocked to find that his job is to protect a nine year old boy Abbas Khan . A bodyguard after all the rigorous training to eliminate hardcore criminals! Abbas is the sole heir to millions of riches left to him by his parents who have expired in a drastic plane crash. The only threat to Abbas's life is Nazir  who has a personal vendetta because of which he venomously stalks the innocent child. Abbas's only guardian is Sapna  who is close to Abbas and his family. Sapna a vivacious lady and a successful model is the only source of love affection and fun in Abbas's life. Rajveer and Abbas hate each other from the world go. Rajveer dislikes this naughty spoilt rich brat for being the cause of his shattered dream of becoming a supercop whereas Abbas hates Rajveer for curtailing his freedom to do things as he pleases. Abbas then calls upon his messiah Sapna to take care of this dictator in his life and together they play pranks on Rajveer to get rid of him. From here starts a very interesting lovehate relationship filled with fun and laughter only to culminate into Rajveer and Sapna falling in love and Abbas and Rajveer developing a relationship of understanding by the end of the day where Rajveer is ready to risk everything to protect Abbas from Nazir the only danger in Abbas's life. But this time Nazir has made several chilling attempts to eliminate Abbas. Now the only way to get Abbas out of danger is for Rajveer to nab Nazir and he does not just that with a powerful climax to this saga. Rajveer kills Nazir in a thrilling climax rescuing Abbas.	thriller	2000.0	Champion	"{""/m/03rk0"": ""India""}"	452
In the final 23 days of L's life he meets one final case involving a bioterrorist group that aims to wipe out much of humanity with a virus. The virus has an infection rate that has one hundred times the infection rate of the Ebola virus. He takes a boy he names Near the sole survivor of its use in a village in Thailand and an elementary school student named Maki Nikaido under his wing. Dr. Nikaido later received a sample of the deadly virus which destroyed that village in Thailand. His assistant Dr. Kimiko Kujo reveals herself to be the leader of the organization that created the virus. Dr. Nikaido who has created an antidote to that virus refuses to give it her. He destroys the antidote and injects himself with the virus. She later kills him and she is convinced that his daughter Maki has the antidote formula. Under the pursuit of Dr. Kimiko Kujo and her assistants Maki runs and escapes. She eventually found L's headquarters. However the group manages to track Maki down forcing L accompanied by Maki and Near to run away with a hightech crepe truck. They also received the help of FBI agent Hideaki Suruga during the escape. They escape to Nikaido's research partner's lab because they needed his help to recreate the antidote. Using Near L manages to acquire the antidote just as the terrorists are about to take an infected Maki to the US to spread the virus. L stops the plane and gives all the infected passengers including the terrorist the antidote. Maki then tries to kill Kujo for revenge but L stops her she goes to the hospital and wakes up with her stuffed bear next to her and a recording from L telling her to have a good day tomorrow. The film concludes with L leaving Near and giving him Near's real name.	fantasy	2008.0	L: Change the World	"{""/m/03_3d"": ""Japan""}"	386
The story centers around Johnny Graham who was raised by the Torino crime family after his parents' death. He is constantly bothered by the fact that he has to make a decision of whether he should stay loyal to the family that adopted him or his conscience. It is apparent to Johnny that it is time to act when Anthony Torino sets his sights on D.A. Elizabeth Jones Grace Johnston who is prosecuting him for the gruesome murder of his cousin. Though Johnny is the family accountant he is an excellent marksman and he volunteers to make the hit. He persuades a hesitant Anthony into letting him eliminate the DA when in actuality he only want to warn her. His plan is ruined by two men from the Torino family sent to oversee his first hit. The shootout that followed leaves Elizabeth wounded one of the two men dead and Johnny arrested. His conscience takes control of him when he confesses and is entered into the Federal Witness Security Program. Shortly after Anthony is apprehended but escapes and makes contact with a mole in an attempt to uncover the locations of Johnny and the others who were going to testify against him in trial. Torino family hitman and Johnny's longtime friend Vince comes to the farm where Johnny was hidden. Once again Johnny is scrambling to keep the lives of those who have paths with Anthony intact including his own. On his journey he realizes he is not alone on his mission.{{cite web}}	thriller		Witness Insecurity	{}	299
A thief named Shyam who has made stealing his career decides to go straight after the death of his mentor . On the run from police for committing a series of robberies in the past he ends up in a village and he comes across a poet named Deepak and comes to his aid. Taking advantage of the fact that Deepak is his lookalike he decides to steal his identity by killing him. He backs out of killing him however when he discovers Deepak is already dying of an illness. After Deepak's death he decides to steal his identity and informs the police that Deepak is actually the thief Shyam. However a police inspector who had tried to capture Shyam after he committed a robbery becomes suspicious that Shyam is actually alive and masquerading as the poet Deepak.	thriller	1973.0	Bandhe Haath	"{""/m/03rk0"": ""India""}"	162
